Lokal;ID;PI;Antal;Struktur;Kommentar;Kommun;Slice;Behandling
Helsingborg_kontroll;1_1.1;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.2;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.3;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.4;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.5;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.6;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.7;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.8;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.9;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.10;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_1.11;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.1;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.2;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.3;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.4;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.5;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.6;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.7;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.8;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.9;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_2.10;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.1;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.2;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.3;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.4;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.5;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.6;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.7;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.8;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.9;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_3.10;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.1;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.2;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.3;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.4;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.5;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.6;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.7;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.8;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.9;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_4.10;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.1;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.2;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.3;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.4;levande;0;cortex;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.5;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.6;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.7;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.8;levande;0;vascular tissue;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.9;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;1_5.10;levande;0;pith;;Helsingborg;1;Control
Helsingborg_kontroll;2_1.1;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.2;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.3;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.4;levande;0;pith;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.5;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.6;levande;0;pith;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.7;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.8;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.9;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_1.10;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.1;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.2;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.3;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.4;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.5;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.6;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.7;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.8;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.9;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_2.10;levande;0;pith;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.1;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.2;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.3;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.4;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.5;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.6;levande;0;cortex;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.7;levande;0;vascular tissue;;Helsingborg;2;Control
Helsingborg_kontroll;2_3.8;levande;0;pith;;Helsingborg;2;Control
